Name,Link,Price,Image,Information
Laptop Dell Latitude 3400 L3400I5SSD (i5 8265U/8GB RAM/256GB SSD/14 inch HD/WL+BT/Dos/Đen),https://www.hanoicomputer.vn/laptop-dell-latitude-3400-l3400i5ssd-i5-8265u-8gb-ddr4-256gb-ssd-14.0-hd-dos,16.389.000 đ,"['https://hanoicomputercdn.com/media/product/120_47380_dell_latitude_3400__7_.jpg', 'https://hanoicomputercdn.com/media/product/120_47380_dell_latitude_3400__6_.jpg', 'https://hanoicomputercdn.com/media/product/120_47380_dell_latitude_3400__5_.jpg', 'https://hanoicomputercdn.com/media/product/120_47380_dell_latitude_3400__4_.jpg', 'https://hanoicomputercdn.com/media/product/120_47380_dell_latitude_3400__3_.jpg', 'https://hanoicomputercdn.com/media/product/120_47380_dell_latitude_3400__2_.jpg', 'https://hanoicomputercdn.com/media/product/120_47380_dell_latitude_3400__1_.jpg']","['Hãng sản xuất', 'Dell', 'Chủng loại', 'Latitude 3400', 'Part Number', 'L3400I5SSD', 'Mầu sắc', 'Đen', 'Bộ vi xử lý', 'Intel Core™ i5 8265U (1.6Ghz, 6MB Cache)', 'Chipset', 'Intel', 'Bộ nhớ trong', '8GB DDR4 2400Mhz (1*8G)', 'Số khe cắm', '2', 'Dung lượng tối đa', 'Not Given', 'VGA', 'Intel UHD 620', 'Ổ cứng', '256GB SSD M2 PCIe NVMe', 'Ổ quang', 'No', 'Card Reader', 'Not Given', 'Bảo mật, công nghệ', 'Backlit dual pointing Keyboard', 'Màn hình', '14.0"" HD (1366x768) Anti-Glare', 'Webcam', 'HD', 'Audio', 'Yes', 'Giao tiếp mạng', 'Gigabit', 'Giao tiếp không dây', 'Intel® Dual Band Wireless-AC 8265\xa0802.11AC, Bluetooth 5.0', 'Cổng giao tiếp', '(1) VGA; (1) HDMI; (1) USB Type–C 3.1 Gen 1; (2) USB 3.1 Gen 1; (1) USB 2.0 port; (1) Universal audio jack; (1) RJ-45; TPM 2.0', 'Pin', '3 cell (42Whr)', 'Kích thước', 'Not Given', 'Cân nặng', '1.75Kg', 'Hệ điều hành', 'Ubuntu', 'Phụ kiện đi kèm', 'AC Adapter']"
Laptop Dell Inspiron 3593C (P75F013N93C) (i3 1005G1/4GB RAM/256GB SSD/15.6 inch FHD/Win 10/Đen),https://www.hanoicomputer.vn/laptop-dell-inspiron-3593c-p75f013n93c-i3-1005g1,11.289.000 đ,"['https://hanoicomputercdn.com/media/product/120_52249_laptop_dell_inspiron_3593c__p75f013n93c__i3_den_01.jpg', 'https://hanoicomputercdn.com/media/product/120_52249_laptop_dell_inspiron_3593c__p75f013n93c__i3_den_02.jpg', 'https://hanoicomputercdn.com/media/product/120_52249_laptop_dell_inspiron_3593c__p75f013n93c__i3_den_03.jpg', 'https://hanoicomputercdn.com/media/product/120_52249_laptop_dell_inspiron_3593c__p75f013n93c__i3_den_04.jpg', 'https://hanoicomputercdn.com/media/product/120_52249_laptop_dell_inspiron_3593c__p75f013n93c__i3_den.jpg', 'https://hanoicomputercdn.com/media/product/120_52249_inspiron3593__1_.jpg', 'https://hanoicomputercdn.com/media/product/120_52249_inspiron3593__2_.jpg', 'https://hanoicomputercdn.com/media/product/120_52249_inspiron3593__3_.jpg', 'https://hanoicomputercdn.com/media/product/120_52249_inspiron3593__4_.jpg', 'https://hanoicomputercdn.com/media/product/120_52249_inspiron3593__5_.jpg', 'https://hanoicomputercdn.com/media/product/120_52249_inspiron3593__6_.jpg', 'https://hanoicomputercdn.com/media/product/120_52249_inspiron3593__7_.jpg', 'https://hanoicomputercdn.com/media/product/120_52249_inspiron3593__8_.jpg']","['Mô tả chi tiết', 'Hãng sản xuất', 'Dell', 'Chủng loại', 'Inspiron 3593C – Bảo hành tại nhà', 'Part Number', 'P75F013N93C', 'Mầu sắc', 'Đen', 'Bộ vi xử lý', 'Intel Core i3 1005G1 (1.2Ghz/ 4MB\xa0Cache)', 'Chipset', 'Intel', 'Bộ nhớ trong', '4GB DDR4', 'Số khe cắm', '2', 'Dung lượng tối đa', 'Not Given', 'VGA', 'Intel UHD', 'Ổ cứng', '256GB SSD', 'Ổ quang', 'Không có', 'Card Reader', 'SD', 'Bảo mật, công nghệ', 'Not Given', 'Màn hình', '15.6 inch FHD (1920 * 1080) Anti-Glare LED-Backlit', 'Webcam', 'HD', 'Audio', 'Yes', 'Giao tiếp mạng', 'Not Given', 'Giao tiếp không dây', '802.11ac ,Bluetooth', 'Cổng giao tiếp', '1 x USB 2.0, 1 x HDMI 1.4b, 1 x RJ45 (Available on select configurations), 2 x USB 3.1 Gen 1, 1 x Headphone & Microphone Audio JackI', 'Pin', '3 Cell (42wh)', 'Kích thước', 'Not Given', 'Cân nặng', '2.0Kg', 'Hệ điều hành', 'Win 10 Home SL', 'Phụ kiện đi kèm', 'AC Adapter']"
Laptop Dell Vostro 3590 (GRMGK2) (i7 10510U/8GB Ram/256GBSSD/ 15.6FHD/AMD 610 2G/DVDRW/FP/Win 10/Đen),https://www.hanoicomputer.vn/laptop-dell-vostro-3590-grmgk2-i7-10510u-8gb-ram-256gb-ssd-15-6fhd-amd-610-2g-dvdrw-fp-win-10-den,19.489.000 đ,"['https://hanoicomputercdn.com/media/product/120_51387_laptop_dell_vostro_3590__grmgk2_.jpeg', 'https://hanoicomputercdn.com/media/product/120_51387_laptop_dell_vostro_3590__grmgk2__03.jpg', 'https://hanoicomputercdn.com/media/product/120_51387_laptop_dell_vostro_3590__grmgk2__02.jpg', 'https://hanoicomputercdn.com/media/product/120_51387_laptop_dell_vostro_3590__grmgk2__01.jpg', 'https://hanoicomputercdn.com/media/product/120_51387_3590__1_.jpg', 'https://hanoicomputercdn.com/media/product/120_51387_3590__2_.jpg', 'https://hanoicomputercdn.com/media/product/120_51387_3590__3_.jpg', 'https://hanoicomputercdn.com/media/product/120_51387_3590__4_.jpg', 'https://hanoicomputercdn.com/media/product/120_51387_3590__5_.jpg', 'https://hanoicomputercdn.com/media/product/120_51387_3590__6_.jpg', 'https://hanoicomputercdn.com/media/product/120_51387_3590__7_.jpg']","['Mô tả chi tiết', 'Hãng sản xuất', 'Dell', 'Chủng loại', 'Vostro 3590 – Bảo hành tại nhà', 'Part number', 'GRMGK2', 'Mầu sắc', 'Đen', 'Bộ vi xử lý', 'Intel Core i7-10510U (1.8Ghz/8MB cache) _ thế hệ 10 mới nhất', 'Chipset', 'Intel', 'Bộ nhớ trong', '8GB DDR4 2666Mhz (8GB *1)', 'Số khe cắm', '2', 'Dung lượng tối đa', 'Not Given', 'VGA', 'AMD Radeon 610 2G DDR5', 'Ổ cứng', '256GB M2 PCIe NVMe SSD', 'Ổ quang', 'DVDRW', 'Card Reader', 'SD', 'Bảo mật, công nghệ', 'Finger Print', 'Màn hình', '15.6’\xa0 FHD (1920 x 1080) Anti-Glare LED-Backlit', 'Webcam', 'HD', 'Audio', 'Yes', 'Giao tiếp mạng', 'Gigabit', 'Giao tiếp không dây', '802.11ac ,Bluetooth 4.1', 'Cổng giao tiếp', '2 USB 3.1 Gen 1 Type-A, 1 USB2.0, 1 VGA, 1 HDMI, 1 RJ45, 1\xa0Headphone/Mic', 'Pin', '3 cell 42Wh', 'Kích thước', 'Not Given', 'Cân nặng', '2.0Kg', 'Hệ điều hành', 'Win 10 Home SL 64', 'Phụ kiện đi kèm', 'AC Adapter']"
Laptop Dell Inspiron 7306 (N3I5202W) (i5 1135G7 8GB RAM/512GB SSD/13.3 inch FHD 300nits/Bút cảm ứng/Win10/Đen),https://www.hanoicomputer.vn/laptop-dell-inspiron-7306-n3i5202w-den,26.799.000 đ,"['https://hanoicomputercdn.com/media/product/120_56517_7306__4_.png', 'https://hanoicomputercdn.com/media/product/120_56517_7306__3_.png', 'https://hanoicomputercdn.com/media/product/120_56517_7306__2_.png', 'https://hanoicomputercdn.com/media/product/120_56517_7306__1_.png']","['Hãng sản xuất', 'Dell', 'Chủng loại', 'Inspiron 7306 – Bảo hành tận nơi', 'Part number', 'N3I5202W', 'Mầu sắc', 'Đen', 'Bộ vi xử lý', 'Intel Core i5 1135G7 (2.4Ghz, 8Mb Cache, up to 4.2 Ghz)', 'Chipset', 'Intel', 'Bộ nhớ trong', '8GB LPDDR4x 4267Mhz', 'Số khe cắm', 'No', 'Dung lượng tối đa', 'Not Given', 'VGA', 'Intel Iris Xe Graphics', 'Ổ cứng', '512GB PCIe Gen3 x4 NVMe SSD', 'Ổ quang', 'No', 'Card Reader', 'MicroSD', 'Bảo mật, công nghệ', 'Backlit keyboard', 'Màn hình', '13.3 inch FHD (1920 * 1080) Truelife 300nits 100%sGRB', 'Webcam', 'HD', 'Audio', '2W Dual stereo speakers', 'Giao tiếp mạng', '10/100', 'Giao tiếp không dây', '802.11ac ,Bluetooth 5.0', 'Cổng giao tiếp', '01 * USB 3.2 Gen 1 port, 01 * HDMH 2.0, 01 * Thunderbolt 4 Type-C port with Power Delivery', 'Pin', '4 cell 60Wh', 'Kích thước', 'Not Given', 'Cân nặng', '1.37Kg', 'Hệ điều hành', 'Win 10 Home SL 64', 'Phụ kiện đi kèm', 'AC Adapter']"
Laptop Asus X509JA-EJ021T (i5 1035G1/4G/512Gb SSD/15.6 Full HD/FP/Win 10/Bạc),https://www.hanoicomputer.vn/laptop-asus-x509ja-ej021t-i5-1035g1-4g-512gb-ssd-15-6-full-hd-fp-win-10-bac,13.999.000 đ,"['https://hanoicomputercdn.com/media/product/120_51687_laptop_asus_x509ja_ej021t_i5_bac.jpg', 'https://hanoicomputercdn.com/media/product/120_51687_laptop_asus_x509ja_ej021t_i5_bac_03.jpg', 'https://hanoicomputercdn.com/media/product/120_51687_laptop_asus_x509ja_ej021t_i5_bac_02.jpg', 'https://hanoicomputercdn.com/media/product/120_51687_laptop_asus_x509ja_ej021t_i5_bac_01.jpg', 'https://hanoicomputercdn.com/media/product/120_51687_x509__1_.jpg', 'https://hanoicomputercdn.com/media/product/120_51687_x509__2_.jpg', 'https://hanoicomputercdn.com/media/product/120_51687_x509__3_.jpg', 'https://hanoicomputercdn.com/media/product/120_51687_x509__4_.jpg', 'https://hanoicomputercdn.com/media/product/120_51687_x509__5_.jpg', 'https://hanoicomputercdn.com/media/product/120_51687_x509__6_.jpg']","['Mô tả chi tiết', 'Hãng sản xuất', 'Asus', 'Chủng loại', 'X509JA', 'Part Number', 'X509JA-EJ021T', 'Mầu sắc', 'Bạc', 'Bộ vi xử lý', 'Intel® Core™ i5-1035G1 Processor 1.0 GHz (6M Cache, up to 3.6 GHz)', 'Chipset', 'N/A', 'Bộ nhớ trong', 'DRAM DDR4 4G', 'Số khe cắm', '1x', 'Dung lượng tối đa', '12G', 'VGA', 'Share', 'Ổ cứng', 'PCIEG3x2 NVME 512GB M.2 SSD', 'Ổ quang', 'N/A', 'Card Reader', 'Type: Micro SDSpec: SDXC', 'Bảo mật, Công nghệ', 'TPM (Firmware TPM)BIOS Booting User Password ProtectionChiclet Keyboard with Num-KeyASUS SplendidICEsoundMcAfee Internet Security(Trial version)FingerPrintIncludes 1 month Trial for New Microsoft Office 365 Customers', 'Màn hình', ""15.6'//Narrow border//200nits//FHD 1920x1080 16:9//Anti-Glare//NTSC: 45%"", 'Webcam', 'VGA Web Camera (Fixed type)', 'Audio', 'Built-in speakerBuilt-in microphone', 'Giao tiếp mạng', 'N/A', 'Giao tiếp không dây', 'Wi-Fi 5(802.11ac)+Bluetooth 4.1 (Dual band) 1*1', 'Cổng giao tiếp', '2x USB 2.01x USB3.1 Type A (Gen1)1x USB3.1 Type C (Gen 1)1x Headphone-out & Audio-in Combo Jack1x HDMI', 'Pin', '32WHrs, 2S1P, 2-cell Li-ion', 'Kích thước', '36.0(W) x 23.5(D) x 2.29 ~ 2.29 (H) cm', 'Cân nặng', '1.70 KG (Without Battery)\xa01.90 KG (with 2 cell battery)', 'Hệ điều hành', 'Windows 10 (64bit)', 'Phụ kiện đi kèm', 'Not Given']"
Laptop Asus Gaming  ROG Zephyrus GA401II-HE152T (R7 4800HS/16GB RAM/512GB SSD/14 FHD 120Ghz/GTX 1650Ti 4GB/Win10/Túi/Trắng),https://www.hanoicomputer.vn/laptop-asus-gaming-rog-zephyrus-ga401ii-he152t-r7-4800hs-16gb-ram-512gb-ssd-15-6-fhd-144ghz-gtx-1660ti-4gb-win10-tui-trang,31.999.000 đ,"['https://hanoicomputercdn.com/media/product/120_52710_zephyrus_ga401iu__9_.jpg', 'https://hanoicomputercdn.com/media/product/120_52710_zephyrus_ga401iu__4_.jpg', 'https://hanoicomputercdn.com/media/product/120_52710_zephyrus_ga401iu__3_.jpg', 'https://hanoicomputercdn.com/media/product/120_52710_zephyrus_ga401iu__2_.jpg', 'https://hanoicomputercdn.com/media/product/120_52710_ga401iu__6_.jpg', 'https://hanoicomputercdn.com/media/product/120_52710_ga401iu__5_.jpg', 'https://hanoicomputercdn.com/media/product/120_52710_ga401iu__4_.jpg', 'https://hanoicomputercdn.com/media/product/120_52710_ga401iu__3_.jpg', 'https://hanoicomputercdn.com/media/product/120_52710_ga401iu__2_.jpg', 'https://hanoicomputercdn.com/media/product/120_52710_ga401iu__1_.jpg']","['Mô tả chi tiết', 'Hãng sản xuất', 'Asus', 'Chủng loại', 'Not Given', 'Part Number', 'Not Given', 'Mầu sắc', 'Trắng', 'Bộ vi xử lý', 'AMD Ryzen™ 7 4800H Processor 2.9 GHz (8M Cache, up to 4.2 GHz)', 'Chipset', 'Not Given', 'Bộ nhớ trong', '8GB DDR4 on board + 8GB DDR4-3200 SO-DIMM', 'Số khe cắm', 'Not Given', 'Dung lượng tối đa', 'Not Given', 'VGA', '4GB GDDR6 NVIDIA® GeForce® GTX 1650 Ti with ROG Boost', 'Ổ cứng', '512GB M.2 NVMe™ PCIe® 3.0 SSD', 'Ổ quang', 'Not Given', 'Card Reader', 'Not Given', 'Bảo mật, Công nghệ', 'BIOS Administrator Password and User Password Protection , Kensington Lock', 'Màn hình', '14-inch FHD (1920 x 1080) 16:9\xa0 120Hz IPS-level', 'Webcam', 'Not Given', 'Audio', 'Dolby Atmos Software , Smart Amp', 'Giao tiếp mạng', 'Not Given', 'Giao tiếp không dây', 'Intel Wi-Fi 6(Gig+)(802.11ax)+Bluetooth 5.0 (Dual band) 2*2(*BT version may change with OS upgrades.)', 'Cổng giao tiếp', '1x Type C USB 3.2 Gen 22x Type A USB 3.2 Gen 11x Type C USB 3.2 Gen 2 with Power Delivery, Display Port and G-Sync//1x 3.5mm combo audio jack1x TypeC (DP 1.4)1x HDMI 2.0b', 'Pin', '76WHrs, 4S1P, 4-cell Li-ion', 'Kích thước (rộng x dài x cao)', '32.4 x 22.0 x 1.79 ~ 1.79 cm', 'Cân nặng', '1.60 Kg', 'Hệ điều hành', 'Windows 10 Home', 'Phụ kiện đi kèm', 'Not Given']"
Laptop Asus VivoBook A512FL-EJ565T (i5 10210U/8GB/512Gb SSD/15.6 FHD/MX250 2Gb/Win10/Bạc),https://www.hanoicomputer.vn/laptop-asus-vivobook-a512fl-ej565t-bac,17.899.000 đ,"['https://hanoicomputercdn.com/media/product/120_53776_a512fl__4_.png', 'https://hanoicomputercdn.com/media/product/120_53776_a512fl__2_.png', 'https://hanoicomputercdn.com/media/product/120_53776_a512fl__1_.png', 'https://hanoicomputercdn.com/media/product/120_53776_a512fl__5_.jpg', 'https://hanoicomputercdn.com/media/product/120_53776_a512fl__4_.jpg', 'https://hanoicomputercdn.com/media/product/120_53776_a512fl__3_.jpg', 'https://hanoicomputercdn.com/media/product/120_53776_a512fl__2_.jpg', 'https://hanoicomputercdn.com/media/product/120_53776_a512fl__1_.jpg']","['Hãng sản xuất', 'Asus', 'Chủng loại', 'Vivobook', 'Part Number', '90NB0M92-M07460', 'Mầu sắc', 'Transparent Silver', 'Bộ vi xử lý', 'Intel® Core™ i5-10210U Processor 1.6 GHz (6M Cache, up to 4.2 GHz)', 'Chipset', 'Intel® UHD Graphics', 'Bộ nhớ trong', 'Not Given', 'Số khe cắm', '4GB DDR4 on board + 4GB DDR4 SO-DIMM', 'Dung lượng tối đa', '1x DDR4 SO-DIMM slot1x M.2 2280 PCIe 3.0x21x STD 2.5” SATA HDD', 'VGA', 'NVIDIA® GeForce® MX250/ 2GB GDDR5', 'Ổ cứng', '512GB M.2 NVMe™ PCIe® 3.0 SSDN/A', 'Ổ quang', 'N/A', 'Card Reader', 'Not Given', 'Bảo mật, Công nghệ', 'FingerPrint', 'Màn hình', '15.6-inch, FHD (1920 x 1080) 16:9 , NTSC: 45%, Brightness : 200 nits, LED Backlit.', 'Webcam', '720p HD camera//Without\xa0privacy\xa0shutter', 'Audio', 'SonicMaster', 'Giao tiếp mạng', 'Not Given', 'Giao tiếp không dây', 'Wi-Fi 5(802.11ac)+Bluetooth 4.2 (Dual band) 2*2', 'Cổng giao tiếp', '1x HDMI 1.41x 3.5mm Combo Audio Jack//2x USB 2.0 Type-A1x USB 3.2 Gen 1 Type-A1x USB 3.2 Gen 1 Type-C//Micro SD card reader', 'Pin', '37WHrs, 2S1P, 2-cell Li-ion', 'Kích thước (rộng x dài x cao)', '35.70 x 23.00 x 1.99 ~ 1.99 cm', 'Cân nặng', '1.75 kg', 'Hệ điều hành', 'Windows 10 Home - ASUS recommends Windows 10 Pro for business.', 'Phụ kiện đi kèm', 'ø4.0, 65W AC Adapter, Output: 19V DC, 3.42A, 65W, Input: 100~240V AC 50/60Hz universal']"
Laptop Asus VivoBook A515EA-BQ489T (i3 1115G4/4GB RAM/512GB SSD/15.6 FHD/Win10/Bạc),https://www.hanoicomputer.vn/laptop-asus-vivobook-a515ea-bq489t-bac,13.599.000 đ,"['https://hanoicomputercdn.com/media/product/120_56230_a515__6_.png', 'https://hanoicomputercdn.com/media/product/120_56230_a515__5_.png', 'https://hanoicomputercdn.com/media/product/120_56230_a515__4_.png', 'https://hanoicomputercdn.com/media/product/120_56230_a515__3_.png', 'https://hanoicomputercdn.com/media/product/120_56230_a515__2_.png', 'https://hanoicomputercdn.com/media/product/120_56230_a515__1_.png']","['Hãng sản xuất', 'Asus', 'Chủng loại', '90NB0SG2-M06220', 'Part Number', 'A515EA-BQ489T', 'Mầu sắc', 'Transparent Silver', 'Bộ vi xử lý', 'Intel® Core™ i3-1115G4 Processor 3.0 GHz (6M Cache, up to 4.1 GHz, 2 cores)', 'Chipset', 'Intel', 'Bộ nhớ trong', '4GB DDR4 on board', 'Số khe cắm', '1', 'Dung lượng tối đa', '12GB', 'VGA', 'Intel® UHD Graphics', 'Ổ cứng', '512GB M.2 NVMe™ PCIe® 3.0 SSD', 'Ổ quang', 'None', 'Card Reader', 'Not Given', 'Bảo mật, công nghệ', 'Not Given', 'Màn hình', '15.6 inch//IPS//250nits//FHD 1920x1080 16:9//Anti-Glare//NTSC: 45%', 'Webcam', '720p HD camera', 'Audio', 'Audio by ICEpower®Built-in speakerBuilt-in microphone//harman/kardon (Mainstream)', 'Giao tiếp mạng', 'Not Given', 'Giao tiếp không dây', 'Intel Wi-Fi 6(Gig+)(802.11ax)', 'Bluetooth 5.0 (Dual band) 2*2', 'Cổng giao tiếp', '1x HDMI 1.4//1x 3.5mm Combo Audio Jack//Micro SD 4.0 card reader', '1x USB 2.0 Type-A//1x USB 3.2 Gen 1 Type-A//1x USB 3.2 Gen 1 Type-C', 'Pin', '42WHrs, 3S1P, 3-cell Li-ion', 'Kích thước (rộng x dài x cao)', '35.90(W) x 23.50(D) x 1.79 ~ 1.79(H) cm', 'Cân nặng', '1.35 kg (Without Battery)1.40 kg (with 3 cell battery)', 'Hệ điều hành', 'Windows 10 bản quyền', 'Phụ kiện đi kèm', 'Not Given']"
Laptop Asus ZenBook UX435EG-AI099T (i7 1165G7/16GB RAM/512GB SSD/14 FHD/MX450 2GB/Win10/Xám),https://www.hanoicomputer.vn/laptop-asus-zenbook-ux435eg-ai099t-xam,32.499.000 đ,"['https://hanoicomputercdn.com/media/product/120_56871_ux435__4_.png', 'https://hanoicomputercdn.com/media/product/120_56871_ux435__3_.png', 'https://hanoicomputercdn.com/media/product/120_56871_ux435__2_.png', 'https://hanoicomputercdn.com/media/product/120_56871_ux435__1_.png']","['Hãng sản xuất', 'Asus', 'Chủng loại', '90NB0SI2-M01720', 'Part Number', 'UX435EG-AI099T', 'Mầu sắc', 'Pine Grey', 'Bộ vi xử lý', 'Intel® Core™ i7-1165G7 Processor 2.8 GHz (12M Cache, up to 4.7 GHz, 4 cores)', 'Chipset', 'Intel', 'Bộ nhớ trong', '16GB LPDDR4X on board', 'Số khe cắm', '0', 'Dung lượng tối đa', '16GB', 'VGA', 'Intel® Iris Xe Graphics//NVIDIA® GeForce® MX450', 'Ổ cứng', '512GB M.2 NVMe™ PCIe® 3.0\xa0 SSD', 'Ổ quang', 'None', 'Vỏ máy', 'Vỏ nhôm', 'Bảo mật, công nghệ', 'HD camera with IR function to support Windows Hello//Without\xa0privacy\xa0shutter// Chuẩn quân đội US MIL-STD 810H military-grade standardScreenPad™ 2.0 (FHD+ (2160 x 1080) IPS-level Panel)', 'Màn hình', '14 inch IPS//300nits//FHD 1920x1080 16:9//Anti-Glare//sRGB: 100%', 'Webcam', '720p HD camera', 'Audio', 'Built-in speakerBuilt-in array microphone//harman/kardon (Premium)with Cortana support', 'Giao tiếp mạng', 'Not Given', 'Giao tiếp không dây', 'Intel Wi-Fi 6(802.11ax)', 'Bluetooth 5.0 (Dual band) 2*2', 'Cổng giao tiếp', '1x HDMI 2.0b//1x 3.5mm Combo Audio Jack//Micro SD card reader""', '1x USB 3.2 Gen 1 Type-A//2x Thunderbolt™ 4 supports display / power delivery', 'Pin', 'TYPE-C, 65W AC Adapter, 63WHrs, 3S1P, 3-cell Li-ion', 'Kích thước (rộng x dài x cao)', '31.90(W) x 19.90(D) x 1.69 ~ 1.69(H) cm', 'Cân nặng', '0.95 kg (without battery)1.29 kg (with 3 cell battery)', 'Hệ điều hành', 'Windows 10 bản quyềqn', 'Phụ kiện đi kèm', 'Not Given']"
Laptop Acer Swift 3X SF314-510G-5742 (NX.A10SV.003) (i5-1135G7/16GB RAM/1TB SSD/14.0 inch FHD/Win10/Vàng) (2020),https://www.hanoicomputer.vn/laptop-acer-swift-3x-sf314-510g-5742-nx-a10sv-003-vang-2020,26.589.000 đ,"['https://hanoicomputercdn.com/media/product/120_56304_acer_swift_3x_sf314_510g__7_.png', 'https://hanoicomputercdn.com/media/product/120_56304_acer_swift_3x_sf314_510g__6_.png', 'https://hanoicomputercdn.com/media/product/120_56304_acer_swift_3x_sf314_510g__5_.png', 'https://hanoicomputercdn.com/media/product/120_56304_acer_swift_3x_sf314_510g__4_.png', 'https://hanoicomputercdn.com/media/product/120_56304_acer_swift_3x_sf314_510g__3_.png', 'https://hanoicomputercdn.com/media/product/120_56304_acer_swift_3x_sf314_510g__1_.png']","['Hãng sản xuất', 'Acer', 'Chủng loại', 'Acer Swift 3X SF314-510G-5742 (2020)', 'Part Number', 'NX.A10SV.003', 'Mầu sắc, chất liệu', 'Vàng (Safari Gold)Cover A: nhômCover B: nhựaCover C: nhômCover D: nhôm', 'Bộ vi xử lý', 'Intel® Core™ i5-1135G7 (2.4Ghz/8MB cache)', 'Chipset', 'Intel', 'Bộ nhớ trong', '16GB LPDDR4X onboard', 'Số khe cắm', 'No', 'Dung lượng tối đa', 'Not Given', 'VGA', 'Intel® Iris® Xe\xa0 Max Graphics (DG1)', 'Ổ cứng', '1TB PCIe NVMe SSD', 'Ổ quang', 'None', 'Card Reader', 'None', 'Bảo mật', 'Acer Bio-Protection fingerprint solution, featuring computer protection and Windows Hello CertificationBIOS user, supervisor, HDD passwords, Kensington lock', 'Màn hình', '14 inch FHD IPS Acer ComfyViewTM LED-backlit TFT LCD', 'Webcam', '720p HD', 'Audio', '•DTS® Audio, featuring optimized bass response and micro-speaker distortion prevention•Two built-in front facing stereo speakers•Acer Purified. Voice technology with dual built-in microphones•Compatible with Cortana with Voice•Acer TrueHarmony technology', 'Giao tiếp mạng', 'Gigabit', 'Giao tiếp không dây', 'Intel® Wireless Wi-Fi 6 AX201 2x2 MU-MIMO technology, Bluetooth® 5.1', 'Cổng giao tiếp', '1 x Power jack (DC-in), 1 x HDMI® port, 1 x USB 3.2 Gen 1 port with power-off charging, 1 x USB Type-C / Thunderbolt 4 port, 1 x Headset / Speaker jack1 x USB 3.2 Gen 1 port', 'Pin', '58.7 Wh 4-cell Li-ion battery', 'Kích thước (rộng x dài x cao)', '322.8 (W) x 212.2 (D) x 17.95 (H) mm', 'Cân nặng', '1.37kg', 'Hệ điều hành', 'Win 10 Home', 'Phụ kiện đi kèm', 'Cáp + Sạc']"
