latitude,longitude,floorSize,url,address,price
40.847366,-73.79026,"1,036",https://www.zillow.com/homedetails/35-Bay-St-Bronx-NY-10464/29850601_zpid/,"35 Bay St, Bronx, NY 10464","$669,000"
40.908944,-73.891332,"1,945",https://www.zillow.com/homedetails/92-Hamilton-Ave-5DE-Yonkers-NY-10705/2077307206_zpid/,"92 Hamilton Ave #5DE, Yonkers, NY 10705","$288,000"
40.65245,-73.942809,"1,824",https://www.zillow.com/homedetails/193-E-37th-St-B-Brooklyn-NY-11203/2076939487_zpid/,"193 E 37th St #B, Brooklyn, NY 11203","$499,000"
40.617381,-74.01581,"3,420",https://www.zillow.com/homedetails/1145-84th-St-Brooklyn-NY-11228/30710040_zpid/,"1145 84th St, Brooklyn, NY 11228","$4,385,000"
40.719017,-73.984898,"14,425",https://www.zillow.com/homedetails/72-Clinton-St-New-York-NY-10002/31495712_zpid/,"72 Clinton St, New York, NY 10002","$450,000"
40.83159,-73.893288,"1,200",https://www.zillow.com/homedetails/1357-Intervale-Ave-Bronx-NY-10459/29783310_zpid/,"1357 Intervale Ave, Bronx, NY 10459","$479,000"
40.619213,-74.094734,850,https://www.zillow.com/homedetails/61-Seth-Ct-B-Staten-Island-NY-10301/2145342318_zpid/,"61 Seth Ct #B, Staten Island, NY 10301","$290,000"
40.847019,-73.884852,980,https://www.zillow.com/homedetails/2120-Mapes-Ave-APT-F-Bronx-NY-10460/123272987_zpid/,"2120 Mapes Ave APT F, Bronx, NY 10460","$159,500"
40.677499,-74.011344,904,https://www.zillow.com/homedetails/68-Sullivan-St-Brooklyn-NY-11231/30573374_zpid/,"68 Sullivan St, Brooklyn, NY 11231","$1,595,000"
40.908944,-73.891332,,https://www.zillow.com/homedetails/92-Hamilton-Ave-5ED-Yonkers-NY-10705/2079130760_zpid/,"92 Hamilton Ave #5ED, Yonkers, NY 10705","$288,000"
40.646705,-73.947868,"2,184",https://www.zillow.com/homedetails/161-E-31st-St-Brooklyn-NY-11226/30660455_zpid/,"161 E 31st St, Brooklyn, NY 11226","$680,000"
40.632206,-73.934243,"1,584",https://www.zillow.com/homedetails/1658-Troy-Ave-Brooklyn-NY-11234/2078588796_zpid/,"1658 Troy Ave, Brooklyn, NY 11234","$644,000"
40.671924,-73.775387,"1,280",https://www.zillow.com/homedetails/13449-161st-St-Jamaica-NY-11434/32188386_zpid/,"13449 161st St, Jamaica, NY 11434","$599,900"
40.703819,-73.765839,"1,287",https://www.zillow.com/homedetails/19021-109th-Rd-Jamaica-NY-11412/32155725_zpid/,"19021 109th Rd, Jamaica, NY 11412","$489,900"
40.511164,-74.247558,"3,187",https://www.zillow.com/homedetails/25-Bocce-Ct-Staten-Island-NY-10307/62711378_zpid/,"25 Bocce Ct, Staten Island, NY 10307","$968,888"
40.537798,-74.190238,"2,200",https://www.zillow.com/homedetails/143-Darlington-Ave-Staten-Island-NY-10312/32365530_zpid/,"143 Darlington Ave, Staten Island, NY 10312","$698,000"
40.583488,-74.152125,"1,376",https://www.zillow.com/homedetails/203-Lewiston-St-Staten-Island-NY-10314/32313393_zpid/,"203 Lewiston St, Staten Island, NY 10314","$550,000"
40.745401,-73.874438,"1,962",https://www.zillow.com/homedetails/4232-Elbertson-St-Flushing-NY-11373/31966559_zpid/,"4232 Elbertson St, Flushing, NY 11373","$980,000"
40.779443,-73.976183,"2,679",https://www.zillow.com/homedetails/44-W-76th-St-New-York-NY-10023/2080300747_zpid/,"44 W 76th St, New York, NY 10023","$4,950,000"
40.69189,-73.759657,"1,616",https://www.zillow.com/homedetails/19033-117th-Rd-Jamaica-NY-11412/32193284_zpid/,"19033 117th Rd, Jamaica, NY 11412","$350,000"
40.821498,-73.9402,900,https://www.zillow.com/homedetails/207-W-144th-St-APT-3C-New-York-NY-10030/2089623128_zpid/,"207 W 144th St APT 3C, New York, NY 10030","$375,000"
40.727699,-73.852897,"1,400",https://www.zillow.com/homedetails/99-72-66th-Rd-APT-1G-Rego-Park-NY-11374/2078151217_zpid/,"99-72 66th Rd APT 1G, Rego Park, NY 11374","$669,000"
40.770393,-73.804361,"2,150",https://www.zillow.com/homedetails/2925-160th-St-Flushing-NY-11358/2077695555_zpid/,"2925 160th St, Flushing, NY 11358","$1,250,000"
40.602331,-74.098504,"2,649",https://www.zillow.com/homedetails/105-Medford-Rd-Staten-Island-NY-10304/32293722_zpid/,"105 Medford Rd, Staten Island, NY 10304","$1,398,366"
40.747738,-73.981062,"1,000",https://www.zillow.com/homedetails/16-Park-Ave-New-York-NY-10016/31505172_zpid/,"16 Park Ave, New York, NY 10016","$750,000"
40.780747,-73.979291,"1,700",https://www.zillow.com/homedetails/170-W-76th-St-PENTHOUSE-3-New-York-NY-10023/2077111216_zpid/,"170 W 76th St PENTHOUSE 3, New York, NY 10023","$2,850,000"
40.793829,-73.799031,"1,200",https://www.zillow.com/homedetails/16210-Powells-Cove-Blvd-APT-3C-Flushing-NY-11357/245464188_zpid/,"16210 Powells Cove Blvd APT 3C, Flushing, NY 11357","$399,985"
40.858711,-73.836442,"3,200",https://www.zillow.com/homedetails/2241-Gunther-Ave-Bronx-NY-10469/29820212_zpid/,"2241 Gunther Ave, Bronx, NY 10469","$875,000"
40.755653,-73.727028,,https://www.zillow.com/homedetails/249-34-63rd-Ave-1279-Little-Neck-NY-11362/219878165_zpid/,"249-34 63rd Ave #1279, Little Neck, NY 11362","$250,000"
40.660603,-73.742422,"1,616",https://www.zillow.com/homedetails/24002-145th-Ave-Jamaica-NY-11422/32209825_zpid/,"24002 145th Ave, Jamaica, NY 11422","$660,000"
40.786689,-73.972264,"1,250",https://www.zillow.com/homedetails/107-W-86th-St-4A-New-York-NY-10024/72522811_zpid/,"107 W 86th St #4A, New York, NY 10024","$1,200,000"
40.747389,-73.756722,,https://www.zillow.com/homedetails/219-16-75th-Ave-FLOOR-2-Oakland-Gardens-NY-11364/2076897964_zpid/,"219-16 75th Ave FLOOR 2, Oakland Gardens, NY 11364","$359,000"
40.802101,-73.948799,,https://www.zillow.com/homedetails/130-Lenox-Ave-APT-206-New-York-NY-10026/2114086343_zpid/,"130 Lenox Ave APT 206, New York, NY 10026","$597,500"
40.684065,-73.925701,"3,450",https://www.zillow.com/homedetails/637-Macon-St-Brooklyn-NY-11233/30605302_zpid/,"637 Macon St, Brooklyn, NY 11233","$1,999,950"
40.603443,-73.942313,"1,300",https://www.zillow.com/homedetails/3395-Nostrand-Ave-APT-5B-Brooklyn-NY-11229/245004075_zpid/,"3395 Nostrand Ave APT 5B, Brooklyn, NY 11229","$460,000"
40.602763,-74.093883,"2,500",https://www.zillow.com/homedetails/22-Meadow-Ave-Staten-Island-NY-10304/32293815_zpid/,"22 Meadow Ave, Staten Island, NY 10304","$879,000"
40.677907,-74.014827,"1,500",https://www.zillow.com/homedetails/200-Conover-St-Brooklyn-NY-11231/30573383_zpid/,"200 Conover St, Brooklyn, NY 11231","$1,695,000"
40.568729,-74.122065,"2,080",https://www.zillow.com/homedetails/3-Reno-Ave-Staten-Island-NY-10306/32337082_zpid/,"3 Reno Ave, Staten Island, NY 10306","$600,000"
40.675064,-73.884446,"1,980",https://www.zillow.com/homedetails/699-Glenmore-Ave-Brooklyn-NY-11208/30638732_zpid/,"699 Glenmore Ave, Brooklyn, NY 11208","$889,000"
40.647818,-73.97781,"2,300",https://www.zillow.com/homedetails/309-Caton-Ave-Brooklyn-NY-11218/30672604_zpid/,"309 Caton Ave, Brooklyn, NY 11218","$1,799,000"
40.647818,-73.97781,"2,300",https://www.zillow.com/homedetails/309-Caton-Ave-Brooklyn-NY-11218/30672604_zpid/,"309 Caton Ave, Brooklyn, NY 11218","$1,799,000"
40.754711,-73.723655,"2,604",https://www.zillow.com/homedetails/6614-254th-St-Flushing-NY-11362/32097781_zpid/,"6614 254th St, Flushing, NY 11362","$879,000"
40.723052,-73.892342,"2,012",https://www.zillow.com/homedetails/5930-69th-Pl-Flushing-NY-11378/31990333_zpid/,"5930 69th Pl, Flushing, NY 11378","$925,000"
40.594558,-74.087378,"1,788",https://www.zillow.com/homedetails/251-Reid-Ave-Staten-Island-NY-10305/32326595_zpid/,"251 Reid Ave, Staten Island, NY 10305","$605,000"
40.542849,-74.167206,"1,578",https://www.zillow.com/homedetails/411-Mosely-Ave-Staten-Island-NY-10312/83053512_zpid/,"411 Mosely Ave, Staten Island, NY 10312","$631,000"
40.546311,-74.192983,"2,190",https://www.zillow.com/homedetails/821-Woodrow-Rd-Staten-Island-NY-10312/299998137_zpid/,"821 Woodrow Rd, Staten Island, NY 10312","$930,000"
40.644327,-73.938619,"1,508",https://www.zillow.com/homedetails/1200-Albany-Ave-Brooklyn-NY-11203/30661035_zpid/,"1200 Albany Ave, Brooklyn, NY 11203","$610,000"
40.777006,-73.80104,"1,898",https://www.zillow.com/homedetails/22-16-163rd-St-Whitestone-NY-11357/32035132_zpid/,"22-16 163rd St, Whitestone, NY 11357","$1,125,000"
40.767784,-73.766331,"2,100",https://www.zillow.com/homedetails/217-07-38th-Ave-Bayside-NY-11361/2076880907_zpid/,"217-07 38th Ave, Bayside, NY 11361","$1,499,000"
40.781178,-73.775156,"1,250",https://www.zillow.com/homedetails/23-35-Bell-Blvd-APT-6H-Bayside-NY-11360/2077657489_zpid/,"23-35 Bell Blvd APT 6H, Bayside, NY 11360","$525,000"
40.673834,-73.808396,"1,372",https://www.zillow.com/homedetails/116-17-130th-St-South-Ozone-Park-NY-11420/2076852346_zpid/,"116-17 130th St, South Ozone Park, NY 11420","$674,999"
40.729737,-73.740399,800,https://www.zillow.com/homedetails/221-25-Braddock-Ave-33-Queens-Village-NY-11427/79731181_zpid/,"221-25 Braddock Ave #33, Queens Village, NY 11427","$265,000"
40.571111,-74.122896,"2,564",https://www.zillow.com/homedetails/18-Bishop-St-Staten-Island-NY-10306/32338518_zpid/,"18 Bishop St, Staten Island, NY 10306","$844,000"
40.719873,-73.889714,"2,230",https://www.zillow.com/homedetails/6942-Eliot-Ave-Flushing-NY-11379/31993371_zpid/,"6942 Eliot Ave, Flushing, NY 11379","$949,000"
40.618705,-74.160415,"1,700",https://www.zillow.com/homedetails/79-Comstock-Ave-Staten-Island-NY-10314/32305472_zpid/,"79 Comstock Ave, Staten Island, NY 10314","$525,000"
40.749632,-73.970012,350,https://www.zillow.com/homedetails/45-Tudor-City-Pl-APT-1508-New-York-NY-10017/244753770_zpid/,"45 Tudor City Pl APT 1508, New York, NY 10017","$310,000"
40.731308,-73.748519,571,https://www.zillow.com/homedetails/227-23-88th-Ave-44-9-Bellerose-Manor-NY-11427/2077217993_zpid/,"227-23 88th Ave #44-9, Bellerose Manor, NY 11427","$245,000"
40.669147,-73.90645,"3,200",https://www.zillow.com/homedetails/103-Belmont-Ave-Brooklyn-NY-11212/2077042750_zpid/,"103 Belmont Ave, Brooklyn, NY 11212","$848,900"
40.724234,-73.767865,"3,500",https://www.zillow.com/homedetails/19814-Epsom-Crse-Jamaica-NY-11423/32146489_zpid/,"19814 Epsom Crse, Jamaica, NY 11423","$1,488,000"
40.76288,-73.789656,,https://www.zillow.com/homedetails/192-07-37th-Ave-199-Flushing-NY-11358/79983725_zpid/,"192-07 37th Ave #199, Flushing, NY 11358","$225,000"
40.681314,-73.942727,"2,750",https://www.zillow.com/homedetails/87-Macdonough-St-Brooklyn-NY-11216/2076976011_zpid/,"87 Macdonough St, Brooklyn, NY 11216","$9,750,000"
40.600163,-74.074064,"3,200",https://www.zillow.com/homedetails/619-W-Fingerboard-Rd-Staten-Island-NY-10305/32322175_zpid/,"619 W Fingerboard Rd, Staten Island, NY 10305","$989,999"
40.848327,-73.896647,800,https://www.zillow.com/homedetails/495-E-178th-St-APT-2A-Bronx-NY-10457/244455428_zpid/,"495 E 178th St APT 2A, Bronx, NY 10457","$95,000"
40.738216,-73.87689,800,https://www.zillow.com/homedetails/8615-Broadway-APT-12K-Flushing-NY-11373/245457936_zpid/,"8615 Broadway APT 12K, Flushing, NY 11373","$449,000"
40.783153,-73.813651,"1,239",https://www.zillow.com/homedetails/1733-150th-St-Flushing-NY-11357/32031184_zpid/,"1733 150th St, Flushing, NY 11357","$899,888"
40.624606,-74.095574,"1,100",https://www.zillow.com/homedetails/50-Fort-Pl-APT-B5H-Staten-Island-NY-10301/244597412_zpid/,"50 Fort Pl APT B5H, Staten Island, NY 10301","$350,000"
40.563493,-74.099675,704,https://www.zillow.com/homedetails/44-Wavecrest-St-Staten-Island-NY-10306/32335885_zpid/,"44 Wavecrest St, Staten Island, NY 10306","$259,000"
40.698263,-73.753707,"1,300",https://www.zillow.com/homedetails/115-53-200th-St-Saint-Albans-NY-11412/2077017800_zpid/,"115-53 200th St, Saint Albans, NY 11412","$599,000"
40.888393,-73.856437,"1,374",https://www.zillow.com/homedetails/4028-Barnes-Ave-Bronx-NY-10466/29832509_zpid/,"4028 Barnes Ave, Bronx, NY 10466","$625,000"
40.578269,-74.158107,"1,008",https://www.zillow.com/homedetails/49-Stone-Ln-Staten-Island-NY-10314/32316227_zpid/,"49 Stone Ln, Staten Island, NY 10314","$355,000"
40.722655,-73.985797,"3,000",https://www.zillow.com/homedetails/12-Avenue-A-New-York-NY-10009/2122941440_zpid/,"12 Avenue A, New York, NY 10009","$6,200,000"
40.899256,-73.869008,"3,750",https://www.zillow.com/homedetails/250-E-238th-St-Bronx-NY-10470/29789401_zpid/,"250 E 238th St, Bronx, NY 10470","$1,300,000"
40.604032,-74.170855,"1,889",https://www.zillow.com/homedetails/70B-Dinsmore-St-B-Staten-Island-NY-10314/32310298_zpid/,"70B Dinsmore St #B, Staten Island, NY 10314","$485,000"
40.681321,-73.806863,896,https://www.zillow.com/homedetails/11442-135th-St-Jamaica-NY-11420/32173620_zpid/,"11442 135th St, Jamaica, NY 11420","$590,000"
40.774829,-73.77035,"3,560",https://www.zillow.com/homedetails/2959-215th-Pl-Flushing-NY-11360/32059400_zpid/,"2959 215th Pl, Flushing, NY 11360","$1,950,000"
40.727157,-73.852414,,https://www.zillow.com/homedetails/100-25-Queens-Blvd-2BB-Forest-Hills-NY-11375/2077435149_zpid/,"100-25 Queens Blvd #2BB, Forest Hills, NY 11375","$749,000"
